,name,url,api_url,api_type,status_code
153,datapilot.american.edu,https://datapilot.american.edu,https://datapilot.american.edu,Socrata,200.0
154,dataratp.opendatasoft.com,https://dataratp.opendatasoft.com,https://dataratp.opendatasoft.com,OpenDataSoft,200.0
155,dati.lombardia.it,https://dati.lombardia.it,https://dati.lombardia.it,Socrata,200.0
156,finances.worldbank.org,https://finances.worldbank.org,https://finances.worldbank.org,Socrata,200.0
157,gavaobert.gavaciutat.cat,https://gavaobert.gavaciutat.cat,https://gavaobert.gavaciutat.cat,Socrata,200.0
158,hampton.demo.socrata.com,https://hampton.demo.socrata.com,https://hampton.demo.socrata.com,Socrata,200.0
159,health.data.ny.gov,https://health.data.ny.gov,https://health.data.ny.gov,Socrata,200.0
160,open.whitehouse.gov,https://open.whitehouse.gov,https://open.whitehouse.gov,Socrata,200.0
161,opendata.lasvegasnevada.gov,https://opendata.lasvegasnevada.gov,https://opendata.lasvegasnevada.gov,Socrata,200.0
162,opendata.socrata.com,https://opendata.socrata.com,https://opendata.socrata.com,Socrata,200.0
163,opendata.terrassa.cat,https://opendata.terrassa.cat,https://opendata.terrassa.cat,Socrata,200.0
164,performance.smcgov.org,https://performance.smcgov.org,https://performance.smcgov.org,Socrata,200.0
165,stat.cityofgainesville.org,https://stat.cityofgainesville.org,https://stat.cityofgainesville.org,Socrata,200.0
166,www.dallasopendata.com,https://www.dallasopendata.com,https://www.dallasopendata.com,Socrata,200.0
167,www.dati.friuliveneziagiulia.it,https://www.dati.friuliveneziagiulia.it,https://www.dati.friuliveneziagiulia.it,Socrata,200.0
168,data.sfgov.org,https://datasf.org/,https://data.sfgov.org,Socrata,200.0
169,hubofdata.ru,https://hubofdata.ru/,https://hubofdata.ru/,CKAN,200.0
170,datos.gob.es,https://datos.gob.es/,https://datos.gob.es/sites/default/files/catalogo.rdf,XMLDCAT,200.0
171,data.illinois.gov,https://data.illinois.gov/,https://data.illinois.gov/,CKAN,0.0
173,data.cityoftacoma.org,https://data.cityoftacoma.org/,https://data.cityoftacoma.org,Socrata,200.0
174,data.hawaii.gov,https://data.hawaii.gov/,https://data.hawaii.gov,Socrata,200.0
175,data.medicare.gov,https://data.medicare.gov/,https://data.medicare.gov,Socrata,200.0
176,data.michigan.gov,https://data.michigan.gov/,https://data.michigan.gov,Socrata,200.0
177,data.nj.gov,https://data.nj.gov/,https://data.nj.gov,Socrata,200.0
178,data.edmonton.ca,https://data.edmonton.ca,https://data.edmonton.ca,Socrata,200.0
179,data.nola.gov,https://data.nola.gov,https://data.nola.gov,Socrata,200.0
180,data.oregon.gov,https://data.oregon.gov,https://data.oregon.gov,Socrata,200.0
