name,url,api_url,api_type,status_code
www.opengov-muenchen.de,https://www.opengov-muenchen.de/,https://www.opengov-muenchen.de/,CKAN,200
data.iledefrance.fr,http://data.iledefrance.fr,http://data.iledefrance.fr,OpenDataSoft,200
opendata.paris.fr.opendatasoft.com,http://opendata.paris.fr.opendatasoft.com,http://opendata.paris.fr.opendatasoft.com,OpenDataSoft,200
pod.opendatasoft.com,http://pod.opendatasoft.com,http://pod.opendatasoft.com,OpenDataSoft,200
public.opendatasoft.com,http://public.opendatasoft.com,http://public.opendatasoft.com,OpenDataSoft,200
tourisme62.opendatasoft.com,http://tourisme62.opendatasoft.com,http://tourisme62.opendatasoft.com,OpenDataSoft,200
bronx.lehman.cuny.edu,https://bronx.lehman.cuny.edu,https://bronx.lehman.cuny.edu,Socrata,200
data.gov.uk,https://ckan.publishing.service.gov.uk,https://ckan.publishing.service.gov.uk/catalog.ttl,CKANDCAT,200
controllerdata.lacity.org,https://controllerdata.lacity.org,https://controllerdata.lacity.org,Socrata,200
data.acgov.org,https://data.acgov.org,https://data.acgov.org,Socrata,200
data.act.gov.au,https://data.act.gov.au,https://data.act.gov.au,Socrata,200
data.albanyny.gov,https://data.albanyny.gov,https://data.albanyny.gov,Socrata,200
data.austintexas.gov,https://data.austintexas.gov,https://data.austintexas.gov,Socrata,200
data.baltimorecity.gov,https://data.baltimorecity.gov,https://data.baltimorecity.gov,Socrata,200
data.burlingtonvt.gov,https://data.burlingtonvt.gov,https://data.burlingtonvt.gov,Socrata,200
data.cdc.gov,https://data.cdc.gov,https://data.cdc.gov,Socrata,200
data.cityofmadison.com,https://data.cityofmadison.com,https://data.cityofmadison.com,Socrata,200
data.cityofnewyork.us,https://data.cityofnewyork.us,https://data.cityofnewyork.us,Socrata,403
data.colorado.gov,https://data.colorado.gov,https://data.colorado.gov,Socrata,200
data.consumerfinance.gov,https://data.consumerfinance.gov,https://data.consumerfinance.gov,Socrata,200
data.ct.gov,https://data.ct.gov,https://data.ct.gov,Socrata,200
data.culvercity.org,https://data.culvercity.org,https://data.culvercity.org,Socrata,200
data.energystar.gov,https://data.energystar.gov,https://data.energystar.gov,Socrata,200
data.hartford.gov,https://data.hartford.gov,https://data.hartford.gov,Socrata,200
data.honolulu.gov,https://data.honolulu.gov,https://data.honolulu.gov,Socrata,200
data.kingcounty.gov,https://data.kingcounty.gov,https://data.kingcounty.gov,Socrata,200
data.maryland.gov,https://data.maryland.gov,https://data.maryland.gov,Socrata,200
data.mo.gov,https://data.mo.gov,https://data.mo.gov,Socrata,200
data.montgomerycountymd.gov,https://data.montgomerycountymd.gov,https://data.montgomerycountymd.gov,Socrata,200
data.ny.gov,https://data.ny.gov,https://data.ny.gov,Socrata,200
data.oaklandnet.com,https://data.oaklandnet.com,https://data.oaklandnet.com,Socrata,0
data.providenceri.gov,https://data.providenceri.gov,https://data.providenceri.gov,Socrata,200
data.raleighnc.gov,https://data.raleighnc.gov,https://data.raleighnc.gov,Socrata,200
data.redmond.gov,https://data.redmond.gov,https://data.redmond.gov,Socrata,200
data.vermont.gov,https://data.vermont.gov,https://data.vermont.gov,Socrata,200
data.weatherfordtx.gov,https://data.weatherfordtx.gov,https://data.weatherfordtx.gov,Socrata,200
datapilot.american.edu,https://datapilot.american.edu,https://datapilot.american.edu,Socrata,200
dataratp.opendatasoft.com,https://dataratp.opendatasoft.com,https://dataratp.opendatasoft.com,OpenDataSoft,200
dati.lombardia.it,https://dati.lombardia.it,https://dati.lombardia.it,Socrata,200
finances.worldbank.org,https://finances.worldbank.org,https://finances.worldbank.org,Socrata,200
gavaobert.gavaciutat.cat,https://gavaobert.gavaciutat.cat,https://gavaobert.gavaciutat.cat,Socrata,200
hampton.demo.socrata.com,https://hampton.demo.socrata.com,https://hampton.demo.socrata.com,Socrata,200
health.data.ny.gov,https://health.data.ny.gov,https://health.data.ny.gov,Socrata,200
open.whitehouse.gov,https://open.whitehouse.gov,https://open.whitehouse.gov,Socrata,200
opendata.lasvegasnevada.gov,https://opendata.lasvegasnevada.gov,https://opendata.lasvegasnevada.gov,Socrata,200
opendata.socrata.com,https://opendata.socrata.com,https://opendata.socrata.com,Socrata,200
opendata.terrassa.cat,https://opendata.terrassa.cat,https://opendata.terrassa.cat,Socrata,200
performance.smcgov.org,https://performance.smcgov.org,https://performance.smcgov.org,Socrata,200
stat.cityofgainesville.org,https://stat.cityofgainesville.org,https://stat.cityofgainesville.org,Socrata,200
www.dallasopendata.com,https://www.dallasopendata.com,https://www.dallasopendata.com,Socrata,200
www.dati.friuliveneziagiulia.it,https://www.dati.friuliveneziagiulia.it,https://www.dati.friuliveneziagiulia.it,Socrata,200
data.sfgov.org,https://datasf.org/,https://data.sfgov.org,Socrata,200
hubofdata.ru,https://hubofdata.ru/,https://hubofdata.ru/,CKAN,200
datos.gob.es,https://datos.gob.es/,https://datos.gob.es/sites/default/files/catalogo.rdf,XMLDCAT,200
data.illinois.gov,https://data.illinois.gov/,https://data.illinois.gov/,CKAN,0
data.cityofchicago.org,https://data.cityofchicago.org/,https://data.cityofchicago.org,Socrata,200
data.cityoftacoma.org,https://data.cityoftacoma.org/,https://data.cityoftacoma.org,Socrata,200
data.hawaii.gov,https://data.hawaii.gov/,https://data.hawaii.gov,Socrata,200
data.medicare.gov,https://data.medicare.gov/,https://data.medicare.gov,Socrata,200
data.michigan.gov,https://data.michigan.gov/,https://data.michigan.gov,Socrata,200
data.nj.gov,https://data.nj.gov/,https://data.nj.gov,Socrata,200
data.edmonton.ca,https://data.edmonton.ca,https://data.edmonton.ca,Socrata,200
data.nola.gov,https://data.nola.gov,https://data.nola.gov,Socrata,200
data.oregon.gov,https://data.oregon.gov,https://data.oregon.gov,Socrata,200
data.seattle.gov,https://data.seattle.gov,https://data.seattle.gov,Socrata,200
data.somervillema.gov,https://data.somervillema.gov,https://data.somervillema.gov,Socrata,200
data.wa.gov,https://data.wa.gov,https://data.wa.gov,Socrata,200
data.winnipeg.ca,https://data.winnipeg.ca,https://data.winnipeg.ca,Socrata,200
datacatalog.cookcountyil.gov,https://datacatalog.cookcountyil.gov,https://datacatalog.cookcountyil.gov,Socrata,200
opendata.rubi.cat,https://opendata.rubi.cat,https://opendata.rubi.cat,Socrata,200
performance.westsussex.gov.uk,https://performance.westsussex.gov.uk,https://performance.westsussex.gov.uk,Socrata,200
rdw.azure-westeurope-prod.socrata.com,https://rdw.azure-westeurope-prod.socrata.com,https://rdw.azure-westeurope-prod.socrata.com,Socrata,200
performance.chattanooga.gov,https://www.chattadata.org,https://www.chattadata.org,Socrata,200
oppnadata.se,https://oppnadata.se,https://registrera.oppnadata.se/all.rdf,XMLDCAT,200
data.gov.ro,http://data.gov.ro,http://data.gov.ro/catalog.ttl,CKANDCAT,200
opendata.caceres.es,http://opendata.caceres.es,http://opendata.caceres.es/catalog.ttl,CKANDCAT,200
data.aberdeencity.gov.uk,https://data.aberdeencity.gov.uk,https://data.aberdeencity.gov.uk/catalog.ttl,CKANDCAT,200
data.cityofboston.gov,https://data.boston.gov,https://data.boston.gov/catalog.ttl,CKANDCAT,200
data.stadt-zuerich.ch,https://data.stadt-zuerich.ch,https://data.stadt-zuerich.ch/catalog.ttl,CKANDCAT,200
datos.alcobendas.org,https://datos.alcobendas.org,https://datos.alcobendas.org/catalog.ttl,CKANDCAT,200
datosabiertos.ayto-arganda.es,https://datosabiertos.ayto-arganda.es,https://datosabiertos.ayto-arganda.es/catalog.ttl,CKANDCAT,200
datosabiertos.rivasciudad.es,https://datosabiertos.rivasciudad.es,https://datosabiertos.rivasciudad.es/catalog.ttl,CKANDCAT,200
opendata.swiss,https://opendata.swiss,https://opendata.swiss/catalog.ttl,CKANDCAT,200
data.humdata.org,https://data.humdata.org,https://data.humdata.org/catalog.ttl,CKANDCAT,200
transparenz.hamburg.de,http://suche.transparenz.hamburg.de,http://suche.transparenz.hamburg.de/catalog.ttl,CKANDCAT,200
