domain,count,url,status_code
newportbeachca-odp.data.socrata.com,0,https://newportbeachca-odp.data.socrata.com/,200
kc-performance.demo.socrata.com,16,https://kc-performance.demo.socrata.com/,200
cityoffairfaxpd.data.socrata.com,2,https://cityoffairfaxpd.data.socrata.com/,200
data.americorps.gov,996,http://data.americorps.gov,0
texas-scgc3.demo.socrata.com,0,https://texas-scgc3.demo.socrata.com/login,200
www.datahub.va.gov,2075,http://www.datahub.va.gov,0
annapolismd.data.socrata.com,1,https://annapolismd.data.socrata.com/login,200
vdh-richmondcity.demo.socrata.com,16,https://vdh-richmondcity.demo.socrata.com/,200
www.transparentrichmond.org,440,http://www.transparentrichmond.org,0
stlouiscounty-performance.demo.socrata.com,4,http://stlouiscounty-performance.demo.socrata.com,0
data.strathcona.ca,349,https://data.strathcona.ca/,200
jcps.data.socrata.com,4,http://jcps.data.socrata.com,0
data.austintexas.gov,3047,https://data.austintexas.gov/,200
iop.data.socrata.com,5,https://iop.data.socrata.com/,200
scarboroughmaine.data.socrata.com,0,https://scarboroughmaine.data.socrata.com/login,200
cityoftracyca.data.socrata.com,0,https://cityoftracyca.data.socrata.com/,200
woodburycountyia.data.socrata.com,0,https://woodburycountyia.data.socrata.com/,200
yorkcountyva.data.socrata.com,2,https://yorkcountyva.data.socrata.com/,200
clemsonsc.data.socrata.com,0,https://clemsonsc.data.socrata.com/,200
idp.nz,100,https://idp.nz/,200
stat.stpete.org,587,https://stat.stpete.org/,200
data.pa.gov,431,https://data.pa.gov/,200
westgoshenpa.data.socrata.com,1,https://westgoshenpa.data.socrata.com/,200
hobbsnm.data.socrata.com,2,https://hobbsnm.data.socrata.com/,200
data.cstx.gov,56,https://data.cstx.gov/,200
westdesmoines.data.socrata.com,0,https://westdesmoines.data.socrata.com/,200
uspto.data.commerce.gov,67,https://uspto.data.commerce.gov/,200
mischooldata.data.socrata.com,49,https://mischooldata.data.socrata.com/,200
internal-portlandme.data.socrata.com,0,https://internal-portlandme.data.socrata.com/login,200
